time;rpm_wheel;rpm_engine
0;0;0
2;330;330
4;360;360
6;300;300
8;330;330
10;270;270
12;315;315
14;345;345
16;330;330
18;330;330
20;330;330
22;345;345
24;315;315
26;360;360
28;315;315
30;270;270
32;330;330
34;390;390
36;270;270
38;270;270
40;300;300
42;285;285
44;195;195
46;225;225
48;225;225
50;240;240
52;180;180
54;150;150
56;150;150
58;150;150
60;135;135
62;165;165
64;75;75
66;165;165
68;210;210
70;150;150
72;135;135
74;300;300
76;300;300
78;255;255
80;345;345
82;270;270
84;330;330
86;210;210
88;225;225
90;345;345
92;285;285
94;315;315
96;285;285
98;210;210
100;315;315
102;330;330
104;345;345
106;375;375
108;345;345
110;330;330
112;375;375
114;375;375
116;420;420
118;420;420
120;405;405
122;435;435
124;405;405
126;405;405
128;435;435
