time;rpm_wheel;rpm_engine
0;150;150
2;345;345
4;345;345
6;345;345
8;345;345
10;330;330
12;345;345
14;360;360
16;360;360
18;390;390
20;375;375
22;390;390
24;405;405
26;420;420
28;420;420
30;450;450
32;435;435
34;480;480
36;480;480
38;480;480
40;525;525
42;510;510
44;525;525
46;540;540
48;555;555
50;570;570
52;585;585
54;585;585
56;600;600
58;630;630
60;615;615
62;645;645
64;645;645
66;660;660
68;690;690
70;690;690
72;690;690
74;705;705
76;735;735
78;735;735
80;735;735
82;750;750
84;765;765
86;780;780
88;780;780
90;705;705
92;795;795
94;795;795
96;840;840
98;810;810
100;825;825
102;840;840
104;840;840
106;870;870
108;840;840
110;855;855
