time;rpm_wheel;rpm_engine
0;0;0
2;315;315
4;630;630
6;555;555
8;660;660
10;540;540
12;720;720
14;810;810
16;750;750
18;735;735
20;765;765
22;735;735
24;690;690
26;765;765
28;750;750
30;705;705
32;735;735
34;720;720
36;735;735
38;720;720
40;705;705
42;735;735
44;690;690
46;720;720
48;705;705
50;705;705
52;720;720
54;690;690
56;705;705
58;705;705
60;690;690
62;705;705
64;690;690
66;690;690
68;690;690
70;690;690
72;690;690
74;690;690
76;675;675
78;675;675
80;675;675
82;660;660
84;690;690
86;675;675
88;675;675
90;660;660
92;600;600
94;660;660
96;645;645
98;675;675
100;660;660
102;645;645
104;660;660
106;660;660
108;645;645
110;660;660
112;630;630
114;645;645
116;645;645
118;645;645
120;630;630
122;645;645
124;630;630
126;630;630
128;630;630
130;630;630
132;630;630
134;615;615
136;630;630
138;630;630
140;615;615
142;615;615
144;630;630
146;615;615
148;600;600
150;630;630
152;600;600
154;600;600
156;600;600
158;585;585
160;600;600
162;570;570
164;585;585
166;570;570
168;570;570
170;570;570
172;570;570
174;555;555
176;570;570
