time;rpm_wheel;rpm_engine
0;120;120
2;315;315
4;315;315
6;330;330
8;330;330
10;330;330
12;330;330
14;330;330
16;360;360
18;345;345
20;360;360
22;360;360
24;390;390
26;390;390
28;405;405
30;420;420
32;420;420
34;465;465
36;435;435
38;495;495
40;480;480
42;495;495
44;510;510
46;525;525
48;540;540
50;540;540
52;570;570
54;570;570
56;600;600
58;585;585
60;630;630
62;630;630
64;630;630
66;645;645
68;645;645
70;690;690
72;690;690
74;690;690
76;720;720
78;720;720
80;735;735
82;750;750
84;750;750
86;750;750
88;780;780
90;720;720
92;780;780
94;810;810
96;810;810
98;825;825
100;825;825
102;825;825
104;840;840
106;855;855
108;855;855
110;870;870
112;885;885
114;855;855
116;855;855
118;840;840
120;855;855
122;840;840
124;840;840
126;825;825
128;825;825
130;840;840
132;825;825
134;825;825
136;810;810
138;810;810
140;810;810
142;810;810
144;795;795
146;795;795
148;810;810
150;795;795
152;795;795
154;765;765
156;795;795
158;795;795
160;765;765
162;780;780
164;765;765
166;780;780
168;750;750
170;765;765
172;765;765
174;735;735
176;705;705
178;750;750
180;735;735
182;750;750
184;735;735
186;750;750
188;720;720
190;750;750
192;720;720
194;720;720
196;720;720
198;735;735
200;720;720
202;705;705
204;720;720
206;705;705
208;705;705
210;690;690
212;705;705
214;720;720
216;690;690
218;690;690
220;690;690
222;690;690
224;675;675
226;675;675
228;690;690
230;675;675
232;660;660
234;675;675
236;660;660
238;675;675
240;660;660
242;660;660
244;660;660
246;645;645
248;645;645
250;645;645
252;660;660
254;630;630
256;645;645
258;630;630
260;645;645
262;585;585
264;630;630
266;600;600
268;630;630
270;615;615
272;630;630
274;615;615
276;600;600
278;600;600
280;615;615
282;600;600
284;600;600
286;600;600
288;585;585
290;600;600
292;585;585
294;585;585
296;570;570
298;600;600
300;570;570
302;570;570
304;585;585
306;570;570
308;585;585
310;570;570
312;570;570
314;555;555
316;555;555
318;540;540
320;570;570
322;555;555
324;555;555
326;555;555
