time;rpm_wheel;rpm_engine
0;135;135
2;540;540
4;540;540
6;555;555
8;540;540
10;540;540
12;525;525
14;540;540
16;555;555
18;525;525
20;555;555
22;510;510
24;555;555
26;540;540
28;540;540
30;525;525
32;540;540
34;525;525
36;555;555
38;525;525
40;525;525
42;540;540
44;540;540
46;540;540
48;540;540
50;525;525
52;525;525
54;555;555
56;540;540
58;540;540
60;525;525
62;540;540
64;555;555
66;525;525
68;555;555
70;525;525
72;540;540
74;555;555
76;540;540
78;540;540
80;540;540
82;540;540
84;555;555
86;555;555
88;525;525
90;495;495
92;540;540
94;555;555
96;555;555
98;540;540
100;540;540
102;540;540
104;555;555
106;570;570
108;555;555
110;540;540
112;555;555
114;540;540
116;555;555
118;555;555
120;555;555
122;555;555
124;555;555
126;555;555
128;555;555
