time;rpm_wheel;rpm_engine
0;90;90
2;420;420
4;405;405
6;375;375
8;435;435
10;405;405
12;420;420
14;420;420
16;390;390
18;435;435
20;405;405
22;390;390
24;435;435
26;405;405
28;405;405
30;420;420
32;390;390
34;435;435
36;405;405
38;405;405
40;435;435
42;405;405
44;405;405
46;420;420
48;405;405
50;420;420
52;420;420
54;390;390
56;435;435
58;405;405
60;405;405
62;420;420
64;405;405
66;405;405
68;420;420
70;390;390
72;420;420
74;405;405
76;405;405
78;420;420
80;405;405
82;390;390
84;420;420
86;405;405
88;405;405
90;375;375
92;390;390
94;405;405
96;420;420
98;390;390
100;405;405
