time;rpm_wheel;rpm_engine
0;30;30
2;135;135
4;90;90
6;105;105
8;105;105
10;120;120
12;120;120
14;105;105
16;135;135
18;165;165
20;180;180
22;195;195
24;210;210
26;210;210
28;240;240
30;255;255
32;285;285
34;300;300
36;330;330
38;345;345
40;375;375
42;435;435
44;405;405
46;360;360
48;360;360
50;480;480
52;465;465
54;525;525
56;570;570
58;615;615
60;615;615
62;630;630
64;570;570
66;570;570
68;600;600
70;615;615
72;615;615
74;600;600
76;570;570
78;555;555
80;585;585
82;570;570
84;585;585
86;525;525
88;570;570
90;555;555
92;465;465
94;570;570
96;585;585
98;555;555
100;540;540
102;570;570
104;555;555
106;570;570
108;555;555
110;540;540
112;555;555
114;585;585
116;555;555
118;555;555
120;570;570
122;540;540
124;540;540
126;525;525
128;570;570
130;555;555
132;555;555
134;555;555
136;495;495
138;540;540
140;540;540
142;555;555
144;525;525
146;525;525
148;510;510
150;465;465
152;540;540
154;540;540
156;510;510
158;465;465
160;510;510
162;525;525
164;465;465
166;495;495
168;525;525
170;510;510
172;420;420
174;480;480
176;465;465
178;420;420
180;465;465
182;510;510
184;465;465
186;420;420
188;450;450
190;450;450
192;450;450
194;450;450
196;510;510
198;465;465
200;450;450
202;510;510
204;435;435
206;465;465
208;480;480
210;420;420
212;465;465
214;495;495
216;435;435
218;465;465
220;480;480
222;420;420
224;465;465
226;420;420
228;465;465
230;435;435
232;375;375
234;435;435
236;420;420
238;450;450
240;495;495
242;435;435
244;450;450
246;390;390
248;495;495
250;375;375
252;450;450
254;450;450
256;435;435
258;450;450
260;405;405
262;435;435
264;390;390
266;510;510
268;420;420
270;450;450
272;360;360
274;465;465
276;360;360
278;435;435
280;405;405
282;450;450
284;390;390
286;480;480
288;420;420
290;435;435
292;345;345
294;465;465
296;390;390
298;480;480
300;375;375
302;480;480
304;420;420
306;450;450
308;420;420
310;435;435
312;450;450
314;390;390
316;465;465
318;375;375
320;465;465
322;420;420
324;405;405
326;450;450
328;375;375
