time;rpm_wheel;rpm_engine
0;0;0
2;165;165
4;240;240
6;240;240
8;165;165
10;225;225
12;330;330
14;315;315
16;330;330
18;315;315
20;330;330
22;15;15
24;0;0
26;0;0
28;0;0
30;15;15
32;0;0
34;0;0
36;30;30
38;285;285
40;180;180
42;0;0
44;0;0
46;0;0
48;0;0
50;0;0
52;0;0
54;0;0
56;0;0
58;0;0
60;0;0
62;150;150
64;330;330
66;315;315
68;120;120
70;15;15
72;285;285
74;300;300
76;210;210
78;45;45
80;0;0
82;0;0
84;0;0
86;15;15
88;210;210
90;0;0
92;0;0
94;0;0
96;0;0
98;0;0
100;0;0
102;0;0
104;180;180
106;315;315
108;60;60
110;0;0
112;30;30
114;300;300
116;315;315
118;135;135
120;0;0
122;0;0
124;0;0
126;0;0
128;0;0
130;0;0
132;0;0
134;90;90
136;150;150
138;0;0
140;45;45
142;0;0
144;0;0
146;0;0
148;0;0
150;45;45
152;0;0
154;195;195
156;300;300
