time;rpm_wheel;rpm_engine
0;0;0
2;525;525
4;555;555
6;555;555
8;555;555
10;555;555
12;570;570
14;555;555
16;555;555
18;540;540
20;555;555
22;555;555
24;450;450
26;30;30
28;30;30
30;300;300
32;60;60
34;120;120
36;15;15
38;315;315
40;570;570
42;555;555
44;165;165
46;555;555
48;570;570
50;555;555
52;555;555
54;570;570
56;570;570
58;480;480
60;555;555
62;555;555
64;540;540
66;570;570
68;570;570
70;570;570
72;135;135
74;135;135
76;30;30
78;405;405
80;405;405
82;15;15
84;30;30
86;45;45
88;60;60
90;165;165
92;45;45
94;30;30
96;15;15
98;15;15
