time;rpm_wheel;rpm_engine
0;30;30
2;120;120
4;150;150
6;120;120
8;150;150
10;165;165
12;30;30
14;0;0
16;0;0
18;0;0
20;0;0
22;0;0
24;0;0
26;0;0
28;0;0
30;0;0
32;0;0
34;0;0
36;0;0
38;0;0
40;0;0
42;0;0
44;0;0
46;0;0
48;0;0
50;0;0
52;0;0
54;0;0
56;0;0
58;0;0
60;0;0
62;0;0
64;0;0
66;0;0
68;0;0
70;0;0
72;0;0
74;0;0
76;0;0
78;0;0
80;0;0
82;0;0
84;0;0
86;0;0
88;0;0
90;0;0
92;0;0
94;0;0
96;0;0
98;75;75
100;60;60
102;75;75
104;60;60
106;60;60
108;60;60
110;45;45
112;45;45
114;45;45
116;15;15
118;15;15
120;0;0
122;0;0
124;0;0
126;0;0
128;0;0
130;0;0
132;0;0
134;0;0
136;0;0
138;0;0
140;0;0
142;0;0
144;0;0
146;0;0
148;0;0
150;0;0
152;0;0
154;0;0
156;0;0
158;0;0
160;0;0
162;15;15
164;45;45
166;30;30
168;45;45
170;45;45
172;60;60
174;60;60
176;45;45
178;60;60
